Country;Year;LPI Rank;LPI Score;Customs;Customs;Infrastructure;Infrastructure;International shipments;International shipments;Logistics competence;Logistics competence;Tracking & tracing;Tracking & tracing;Timeliness;Timeliness
Germany;2016;1;4.23;2;4.12;1;4.44;8;3.86;1;4.28;3;4.27;2;4.45
Luxembourg;2016;2;4.22;9;3.90;4;4.24;1;4.24;10;4.01;8;4.12;1;4.80
Sweden;2016;3;4.20;8;3.92;3;4.27;4;4.00;2;4.25;1;4.38;3;4.45
Netherlands;2016;4;4.19;3;4.12;2;4.29;6;3.94;3;4.22;6;4.17;5;4.41
Singapore;2016;5;4.14;1;4.18;6;4.20;5;3.96;5;4.09;10;4.05;6;4.40
Belgium;2016;6;4.11;13;3.83;14;4.05;3;4.05;6;4.07;4;4.22;4;4.43
Austria;2016;7;4.10;15;3.79;12;4.08;9;3.85;4;4.18;2;4.36;7;4.37
United Kingdom;2016;8;4.07;5;3.98;5;4.21;11;3.77;7;4.05;7;4.13;8;4.33
Hong Kong, China;2016;9;4.07;7;3.94;10;4.10;2;4.05;11;4.00;14;4.03;9;4.29
United States;2016;10;3.99;16;3.75;8;4.15;19;3.65;8;4.01;5;4.20;11;4.25
Switzerland;2016;11;3.99;10;3.88;7;4.19;14;3.69;14;3.95;12;4.04;14;4.24
Japan;2016;12;3.97;11;3.85;11;4.10;13;3.69;12;3.99;13;4.03;15;4.21
United Arab Emirates;2016;13;3.94;12;3.84;13;4.07;7;3.89;18;3.82;18;3.91;18;4.13
Canada;2016;14;3.93;6;3.95;9;4.14;29;3.56;15;3.90;9;4.10;25;4.01
Finland;2016;15;3.92;4;4.01;16;4.01;30;3.51;16;3.88;11;4.04;16;4.14
France;2016;16;3.90;17;3.71;15;4.01;20;3.64;19;3.82;15;4.02;13;4.25
Denmark;2016;17;3.82;14;3.82;24;3.75;15;3.66;9;4.01;25;3.74;30;3.92
Ireland;2016;18;3.79;25;3.47;22;3.77;10;3.83;20;3.79;16;3.98;29;3.94
Australia;2016;19;3.79;22;3.54;18;3.82;21;3.63;17;3.87;19;3.87;21;4.04
South Africa;2016;20;3.78;18;3.60;21;3.78;23;3.62;22;3.75;17;3.92;24;4.02
Italy;2016;21;3.76;27;3.45;19;3.79;17;3.65;21;3.77;20;3.86;22;4.03
Norway;2016;22;3.73;20;3.57;17;3.95;25;3.62;24;3.70;22;3.82;39;3.77
Spain;2016;23;3.73;24;3.48;25;3.72;22;3.63;23;3.73;23;3.82;26;4.00
Korea, Rep.;2016;24;3.72;26;3.45;20;3.79;27;3.58;25;3.69;24;3.78;23;4.03
Taiwan;2016;25;3.70;34;3.23;26;3.57;28;3.57;13;3.95;31;3.59;12;4.25
Czech Republic;2016;26;3.67;19;3.58;35;3.36;18;3.65;26;3.65;21;3.84;28;3.94
China;2016;27;3.66;31;3.32;23;3.75;12;3.70;27;3.62;28;3.68;31;3.90
Israel;2016;28;3.66;23;3.50;30;3.49;37;3.38;28;3.60;26;3.72;10;4.27
Lithuania;2016;29;3.63;28;3.42;27;3.57;31;3.49;30;3.49;27;3.68;17;4.14
Qatar;2016;30;3.60;21;3.55;28;3.57;26;3.58;29;3.54;35;3.50;35;3.83
Hungary;2016;31;3.43;49;3.02;32;3.48;34;3.44;34;3.35;41;3.40;33;3.88
Malaysia;2016;32;3.43;40;3.17;33;3.45;32;3.48;35;3.34;36;3.46;47;3.65
Poland;2016;33;3.43;33;3.27;45;3.17;33;3.44;31;3.39;37;3.46;37;3.80
Turkey;2016;34;3.42;36;3.18;31;3.49;35;3.41;36;3.31;43;3.39;40;3.75
India;2016;35;3.42;38;3.17;36;3.34;39;3.36;32;3.39;33;3.52;42;3.74
